LATITUDE,LONGITUDE,PRECINCT
-73.9496815,40.8020241,28
-74.0001371,40.7161987,5
-73.8762125,40.8240856,43
-73.9447717,40.6510657,67
-74.1215767,40.5613119,122
-73.9098906,40.6456145,69
-73.9506605,40.6263625,70
-73.8898048,40.8724007,52
-73.8629988,40.8523247,49
-73.9922224,40.7176586,5
-74.0011256,40.7241667,1
-73.8643841,40.8678394,49
-74.007017,40.6549544,72
-73.9344002,40.7460347,108
-73.8819765,40.8703866,52
-73.9950749,40.6340776,66
-73.9443222,40.7880564,23
-73.9806727,40.7509045,17
-73.8464778,40.817048,43
-73.9502377,40.7054724,90
-74.0090609,40.7108872,1
-73.9478358,40.7466701,108
-73.890236,40.7667047,114
-73.9846193,40.7591997,18
-73.7640895,40.7075195,103
-73.8182648,40.7498267,109
-73.9974301,40.661037,72
-73.9509752,40.6639058,71
-73.8910808,40.6562617,75
-73.9468516,40.7091763,90
-73.9616083,40.7643654,19
-73.9013994,40.9098158,50
-73.9795031,40.7397825,13
-73.7967711,40.7005141,103
-73.7772287,40.6796533,113
-73.9356361,40.7368761,108
-73.9513543,40.7123979,90
-73.7850808,40.7189157,107
-73.823484,40.764651,109
-73.9917461,40.7185836,5
-73.9338333,40.691894,81
-73.9105432,40.744756,108
-74.0757869,40.6087623,120
-73.7799359,40.7551698,111
-74.0227324,40.6180871,68
-73.9130364,40.6843677,83
-73.8607565,40.7285372,112
-73.945831,40.7578101,114
-74.1140729,40.6245818,120
-74.0283499,40.6227987,68
-73.9511173,40.7109568,90
-74.1212583,40.6278216,120
-73.7417317,40.6597315,105
-73.933222,40.600108,61
-74.0673986,40.5977334,122
-73.8792541,40.8344254,43
-73.8680939,40.8184993,43
-73.8704003,40.7621717,115
-74.0972671,40.6339982,120
-73.7827967,40.7766666,109
-73.9556676,40.6811367,79
-73.8946313,40.6970606,104
-73.922758,40.8173878,40
-73.8278938,40.7513045,109
-73.9225385,40.7080591,83
-73.8644784,40.8410869,43
-74.0245673,40.6417715,72
-73.9241562,40.7539607,114
-73.9443222,40.7880564,23
-73.8246972,40.679546,106
-74.0044171,40.7422847,10
-73.9881543,40.7319639,9
-73.8459342,40.8427653,45
-73.9555012,40.7684858,19
-73.9218247,40.6769384,77
-73.9077366,40.6579423,73
-73.9316919,40.7652244,114
-74.000526,40.6364547,66
-73.9753418,40.7412749,17
-73.9871799,40.7332923,13
-73.9338333,40.691894,81
-73.9803395,40.7304423,13
-74.0175714,40.6208987,68
-73.8605718,40.8306468,43
-73.7360277,40.7358285,105
-73.9785356,40.785787,20
-73.9916334,40.7547072,14
-73.9874743,40.760405,18
-73.858263,40.8220118,43
-73.9708818,40.798444,24
-73.9873768,40.6081278,62
-73.9367906,40.7598833,114
-73.95729,40.6643036,71
-73.8104838,40.7369935,107
-73.8655633,40.6690638,75
-73.8223473,40.6846422,106
-73.9671533,40.7567642,17
-73.8253151,40.7629768,109
-73.9645027,40.7589756,17
-73.9220696,40.6894904,83
-73.8855916,40.738325,110
-73.9394577,40.8160255,32
-73.9179159,40.8709228,34
-73.9889851,40.7267792,9
-73.9044192,40.8703607,50
-73.9979797,40.7226626,5
-73.9854275,40.6783447,78
-73.904463,40.6787753,73
-73.881667,40.8533472,48
-73.9197796,40.8035936,40
-74.1795009,40.5541681,123
-73.8906229,40.6585778,75
-73.7696774,40.6843183,113
-73.9644717,40.7157321,90
-73.9574027,40.7701196,19
-73.9920774,40.7540925,14
-73.9223863,40.804696,40
-73.8448746,40.6802804,106
-73.8703694,40.7334973,110
-73.7356712,40.6656136,105
-73.9640543,40.6936283,88
-73.8163543,40.7149351,107
-73.9505022,40.6698646,71
-73.9342137,40.8435685,33
-73.9349587,40.713721,90
-73.9924679,40.62051,62
-73.9851029,40.7594056,18
-73.9545761,40.7697535,19
-73.8292945,40.7525939,109
-73.9542141,40.5873824,61
-73.8700582,40.8782895,47
-73.8577325,40.8335582,43
-74.1560555,40.5477329,122
-73.7701192,40.7601077,111
-73.7693497,40.7602845,111
-73.9968524,40.7577322,10
-73.9977125,40.6236805,62
-73.9794839,40.7554056,18
-73.9845604,40.7484375,14
-73.9934591,40.7244328,5
-73.9493728,40.7140658,90
-73.8475454,40.8809325,47
-73.988192,40.7434507,13
-73.8826776,40.692317,104
-73.8703694,40.7334973,110
-73.9722319,40.7914974,24
-73.9703425,40.7523789,17
-73.950066,40.6554241,71
-73.7467798,40.7474713,111
-73.9676275,40.6352397,70
-73.763481,40.685873,113
-73.9969843,40.7165417,5
-73.9498444,40.6768744,77
-73.9347786,40.7355527,108
-73.7671284,40.6666971,105
-73.9213906,40.7668948,114
-73.9841185,40.7548409,14
-73.8327446,40.6880421,102
-73.9659052,40.6000839,61
-74.0901074,40.6094024,120
-73.8447524,40.6878778,102
-73.9808885,40.7534818,14
-73.9374076,40.8101754,25
-73.8351603,40.7581413,109
-73.9098446,40.7516393,114
-73.9869481,40.7560353,14
-74.1427191,40.5454336,122
-73.8433035,40.6753129,106
-73.9744374,40.7565574,18
-73.8872899,40.875648,52
-73.8752676,40.8771397,52
-74.0106725,40.7291123,1
-73.9973389,40.5985519,62
-73.7488879,40.60663,101
-73.9521905,40.6480223,67
-73.9189996,40.7589746,114
-74.0067808,40.7067235,1
-73.9967877,40.7527231,14
-73.8505618,40.6876631,102
-73.8090389,40.7199104,107
-73.9594296,40.6904484,79
-73.9543927,40.7265374,94
-73.9858217,40.7572565,14
-73.9588943,40.7749592,19
-74.0064348,40.7095562,1
-73.983113,40.7348371,13
-73.9034359,40.6461445,69
-73.9260937,40.6830374,81
-73.9159213,40.7183391,104
-73.9829207,40.6404169,66
-73.8709403,40.738702,110
-73.8319573,40.7629537,109
-73.9574027,40.7701196,19
-74.0067388,40.7544905,10
-73.9672223,40.5946524,61
-73.8822143,40.6545182,75
-73.9767508,40.6230139,66
-73.8447047,40.8461287,49
-73.9826576,40.6126918,62
-73.9544243,40.7066735,90
-73.8847479,40.8422672,48
-74.2226035,40.5494567,123
-73.898942,40.7462368,108
-73.9850846,40.6960511,84
-73.98193,40.719458,7
-73.952875,40.576883,61
-73.9138454,40.6749071,73
-73.7696382,40.7645422,111
-73.9811649,40.7843547,20
-73.9424176,40.6185937,63
-73.9567585,40.577955,60
-73.9032792,40.8486931,46
-73.977166,40.6307461,66
-73.8852401,40.7496522,115
-73.991279,40.7324473,9
-73.9575338,40.7116098,90
-73.8905965,40.652715,75
-73.934392,40.8056394,25
-73.9760491,40.7514416,14
-73.978998,40.7281063,9
-73.9718339,40.5798042,60
-73.9742282,40.6815047,78
-73.9106548,40.7045646,104
-73.973607,40.747925,17
-73.9650963,40.576827,60
-73.9312914,40.6670166,71
-73.8811327,40.6850638,75
-74.005887,40.7146779,5
-73.9420758,40.688698,79
-73.9554123,40.690908,79
-73.9518505,40.8245097,30
-73.9033106,40.8843001,50
-73.9846193,40.7591997,18
-73.9900269,40.7327574,9
-73.9638509,40.7163385,90
-73.9628837,40.6070191,61
-73.9628837,40.6070191,61
-73.9923627,40.6896895,84
-73.8890776,40.8097767,41
-73.9804179,40.672256,78
-73.7738282,40.6596509,105
-73.7356712,40.6656136,105
-73.9260124,40.8635725,34
-73.9547692,40.6396243,70
-73.9353978,40.725908,94
-73.8436788,40.7197623,112
-73.8372809,40.7189849,112
-74.0181512,40.6203359,68
-73.8933748,40.637108,69
-73.9877686,40.7497883,14
-74.0011362,40.7101767,5
-73.9726136,40.7590602,18
-73.9283702,40.7422296,108
-73.8960361,40.8692309,52
-73.8968793,40.8221187,41
-73.9399663,40.6006387,61
-73.8928888,40.7738078,114
-73.9981373,40.7649043,18
-73.9531271,40.8126915,26
-73.7896266,40.6879384,113
-73.9821898,40.6786763,78
-73.886661,40.7163954,104
-73.7948949,40.7054596,103
-73.9009125,40.734126,108
-73.9587033,40.81512,26
-73.9481865,40.6902407,79
-74.0029507,40.6315031,66
-73.9291364,40.7682283,114
-73.9077366,40.6579423,73
-74.0061151,40.7237466,1
-73.7808694,40.7029113,103
-73.9916483,40.7224015,5
-73.9550003,40.8151131,26
-73.974648,40.7533681,18
-73.9228648,40.7065744,83
-73.8775195,40.644042,75
-73.9529869,40.678723,79
-73.9598617,40.6556338,70
-73.9155159,40.8247084,42
-73.8444758,40.7229692,112
-73.9852802,40.6921563,84
-73.8294593,40.6853995,106
-73.9808593,40.7419703,13
-73.903095,40.7741682,114
-74.1010154,40.6134447,120
-73.9698722,40.7947356,24
-73.9638107,40.6175896,70
-73.8914308,40.7468448,115
-73.9074526,40.6392748,69
-73.9942667,40.6049965,62
-73.7985458,40.7039893,103
-73.9586497,40.7211812,94
-73.9390768,40.8216382,32
-73.8802991,40.84013,48
-73.9185718,40.701403,83
-73.783941,40.7033041,103
-73.9497151,40.6810711,79
-73.931783,40.5881398,61
-73.9822554,40.7573878,18
-73.8681391,40.6826644,75
-73.7640895,40.7075195,103
-73.8432452,40.7553365,110
-73.9363841,40.8378498,33
-73.8280776,40.6660852,106
-74.101737,40.5599067,122
-73.996839,40.7373607,13
-73.9811076,40.7444983,17
-73.9031775,40.6553118,73
-73.9107549,40.678278,73
-74.0061151,40.7237466,1
-73.8555729,40.8712211,49
-73.9828075,40.7022869,84
-73.9502377,40.7054724,90
-73.948845,40.6167989,70
-73.8609622,40.6697253,75
-73.8703694,40.7334973,110
-73.9603492,40.5873051,61
-73.9336335,40.6716264,77
-73.8671218,40.8367396,43
-73.9879831,40.7408734,13
-74.0144301,40.7031519,1
-73.9675328,40.6817692,88
-73.9136956,40.6764962,73
-73.9535426,40.6106525,61
-73.9056036,40.6320133,69
-73.7977044,40.7043282,103
-73.9731412,40.7485397,17
-73.8733544,40.7045516,104
-74.0103519,40.732384,6
-73.8578145,40.8442545,49
-74.1694734,40.5591268,122
-73.9463052,40.7157799,94
-73.8585167,40.8913379,47
-73.9971211,40.7223002,5
-73.9691048,40.6894687,88
-73.9854869,40.7529363,14
-73.9931332,40.5956614,62
-73.743984,40.7302774,105
-73.8371456,40.7079562,102
-73.9948425,40.7502939,14
-73.9454127,40.6604367,71
-74.0147538,40.6339615,68
-73.8958679,40.6718921,75
-73.904339,40.9059675,50
-73.9954294,40.71728,5
-73.9370711,40.8489388,33
-73.955488,40.6801952,79
-73.923183,40.6652273,67
-73.8459049,40.8897408,47
-73.9556676,40.6811367,79
-73.8974946,40.8636687,52
-73.9810212,40.7692723,22
-73.8842861,40.8812552,52
-74.1580762,40.5440767,122
-73.9476066,40.7536142,108
-73.9934636,40.7521904,14
-73.9242472,40.6485398,67
-74.0898586,40.619874,120
-73.8346973,40.7468899,109
-73.9916334,40.7547072,14
-73.9510684,40.5860252,61
-73.9851426,40.6948846,84
-73.9084001,40.8808185,50
-73.8108998,40.7303024,107
-73.8465445,40.7238888,112
-73.9781934,40.7392333,13
-73.9328502,40.8480389,34
-73.9978601,40.7410552,13
-73.9110367,40.699531,83
-73.8791769,40.7416258,110
-73.9550538,40.7733356,19
-73.8050847,40.8113066,45
-73.9003282,40.7267009,104
-73.9005032,40.6409241,69
-73.930381,40.6517331,67
-73.9811087,40.6515907,72
-73.936006,40.6974067,83
-73.9441168,40.5810375,61
-74.0173814,40.6521097,72
-73.9348039,40.7133723,90
-73.998375,40.637893,66
-73.9435263,40.69603,79
-73.8447921,40.8474188,49
-73.9369052,40.6922854,81
-73.837804,40.6508164,106
-73.853718,40.7380748,110
-73.8285226,40.7285596,107
-73.9629283,40.7665589,19
-73.999242,40.7595273,10
-73.9339535,40.5996336,61
-73.9481686,40.7039152,90
-73.8988857,40.6953901,104
-73.7055743,40.7379231,105
-73.9961278,40.7434293,13
-73.9290074,40.6827016,81
-73.9593232,40.7408037,108
-73.8254065,40.6771481,106
-73.9502882,40.7005922,90
-73.9865687,40.7044119,84
-74.1672766,40.5268949,123
-73.7913763,40.7683247,111
-73.9364005,40.7526726,114
-73.9299991,40.6481811,67
-73.8248954,40.7235066,107
-73.9852652,40.5967449,62
-73.9339524,40.7026755,90
-73.9073102,40.7624846,114
-73.9161727,40.8482887,46
-73.8700805,40.7502921,115
-73.9364055,40.6717735,77
-73.9567952,40.8217066,30
-73.8336777,40.7563194,109
-73.9447582,40.8240317,30
-73.9795146,40.7611476,18
-74.0077862,40.6371956,66
-73.958584,40.6817416,79
-73.7922872,40.6811472,113
-73.9907554,40.7348379,6
-73.9852319,40.617125,62
-73.968811,40.6931192,88
-73.8329392,40.8435185,45
-73.8896922,40.7004732,104
-73.9883913,40.7591644,14
-73.9514656,40.7131061,90
-73.9311201,40.6687978,71
-73.9888427,40.7585332,14
-73.9943603,40.6902385,76
-73.9903149,40.7616074,18
-73.9207657,40.6580097,67
-73.7637567,40.6670937,113
-73.8771572,40.7468662,110
-73.9473543,40.6572811,71
-73.8767986,40.6733857,75
-73.7659615,40.657184,105
-73.7797267,40.7136357,107
-73.8995025,40.7000815,104
-73.9342506,40.7586961,114
-73.7504195,40.7248459,105
-73.8969598,40.6347919,69
-73.9130649,40.8201339,40
-73.9781153,40.7572855,18
-73.9009848,40.7024487,104
-73.9977585,40.7564889,10
-73.996304,40.7533873,10
-73.7513595,40.6778985,105
-73.8691738,40.7341354,110
-73.8846678,40.7445903,110
-73.9503862,40.5834503,61
-73.9194608,40.640239,69
-73.9429233,40.8232596,32
-73.9278657,40.6281676,63
-73.9318965,40.706355,90
-73.7579735,40.7220898,105
-73.8911253,40.8454106,48
-73.9308839,40.8481201,34
-74.0039696,40.7428639,10
-73.9192394,40.8172207,40
-73.9595114,40.7161723,94
-73.8828818,40.8490749,48
-74.0774123,40.6252876,120
-73.802787,40.7077158,103
-73.9918914,40.7696387,18
-73.9803938,40.7541542,14
-73.9536474,40.771024,19
-73.8352858,40.7613858,109
-73.8052116,40.7037702,103
-74.0023487,40.7264942,1
-73.9224829,40.7093326,90
-73.9077793,40.825213,42
-73.8167205,40.7063637,107
-73.827707,40.7816666,109
-73.7320382,40.6529324,105
-73.8986021,40.7158658,104
-73.9167696,40.769919,114
-73.9923934,40.6102417,62
-73.9354706,40.6990725,83
-73.8447207,40.8470042,49
-73.8692939,40.7244356,104
-73.9047866,40.8789244,50
-73.9879831,40.7408734,13
-73.9433863,40.6952888,79
-73.8214758,40.7259798,107
-73.8323919,40.7523184,109
-73.9956999,40.7187759,5
-73.8065882,40.7066326,103
-73.9572076,40.6635186,71